,Date,High,Low,Open,Close,Volume,Adj Close,%Gain or %Loss
1373,2020-06-17,142.60000610351562,140.03999328613278,142.60000610351562,140.19000244140622,596600,140.19000244140622,1.1214532032587585
1374,2020-06-18,140.14999389648438,138.33999633789062,140.14999389648438,138.58000183105472,533300,138.58000183105472,1.1484418163302488
1375,2020-06-19,141.1999969482422,134.47000122070312,140.21000671386722,136.64999389648438,1064600,136.64999389648438,1.392703066148929
1376,2020-06-22,139.05000305175778,134.58999633789062,135.85000610351562,136.89999389648438,1135500,136.89999389648438,-0.18294914831052314
1377,2020-06-23,138.75999450683594,135.96000671386722,137.66000366210938,136.36000061035156,505700,136.36000061035156,0.394443615929686
1378,2020-06-24,135.97000122070312,133.47999572753906,134.74000549316406,135.00999450683594,1164200,135.00999450683594,0.9900308723034292
1379,2020-06-25,135.35000610351562,132.10000610351562,135.35000610351562,134.86000061035156,654500,134.86000061035156,0.1110983650005114
1380,2020-06-26,141.69000244140625,133.92999267578122,133.92999267578122,140.1199951171875,2089300,140.1199951171875,-3.900337003581618
1381,2020-06-29,141.27000427246094,136.6300048828125,140.86000061035156,137.41000366210938,907600,137.41000366210938,1.9340504920883417
1382,2020-06-30,139.96000671386722,137.57000732421878,137.91000366210938,139.47999572753906,612500,139.47999572753906,-1.5064347647641356
1383,2020-07-01,140.27999877929688,137.16999816894528,139.75999450683594,137.30999755859378,562000,137.30999755859378,1.5557773411351183
1384,2020-07-02,140.07000732421878,137.91999816894528,138.6300048828125,138.52000427246094,525200,138.52000427246094,-0.8812225878533116
1385,2020-07-06,140.60000610351562,138.05999755859378,139.92999267578122,139.69999694824222,545800,139.69999694824222,-0.8518572331692253
1386,2020-07-07,139.61000061035156,133.94000244140622,138.67999267578122,134.28999328613278,1017900,134.28999328613278,3.872586814811311
1387,2020-07-08,135.83000183105472,132.94000244140622,134.89999389648438,134.16000366210938,902000,134.16000366210938,0.09679769939852415
1388,2020-07-09,145.0,137.78999328613278,139.50999450683594,144.82000732421875,1726000,144.82000732421875,-7.945738946875166
1389,2020-07-10,144.86000061035156,141.32000732421875,144.4600067138672,142.52000427246094,596100,142.52000427246094,1.58818045534871
1390,2020-07-13,144.8000030517578,139.92999267578122,143.2100067138672,140.25999450683594,966700,140.25999450683594,1.5857491565215316
1391,2020-07-14,143.97000122070312,140.16999816894528,141.0,143.91000366210938,648700,143.91000366210938,-2.602316624998545
1392,2020-07-15,149.22000122070312,144.63999938964844,147.60000610351562,146.92999267578125,926100,146.92999267578125,-2.0985261182833392
1393,2020-07-16,147.5800018310547,145.4499969482422,146.1999969482422,147.44000244140625,523200,147.44000244140625,-0.347110726909514
1394,2020-07-17,150.0,146.4499969482422,147.75,149.42999267578125,1816700,149.42999267578125,-1.3496949277153172
1395,2020-07-20,153.83999633789062,150.39999389648438,150.39999389648438,152.3699951171875,691300,152.3699951171875,-1.9674781406067408
1396,2020-07-21,155.80999755859375,151.94000244140625,152.4600067138672,154.36000061035156,965500,154.36000061035156,-1.3060350180057123
1397,2020-07-22,155.6300048828125,153.1699981689453,153.94000244140625,154.83999633789062,504000,154.83999633789062,-0.3109586198763421
1398,2020-07-23,156.36000061035156,154.07000732421875,155.0,154.7100067138672,636200,154.7100067138672,0.0839509345762158
1399,2020-07-24,155.27999877929688,151.47999572753906,154.2100067138672,152.33999633789062,675700,152.33999633789062,1.5319050307843665
1400,2020-07-27,154.2100067138672,149.88999938964844,152.8800048828125,151.24000549316406,1416900,151.24000549316406,0.722063063653211
1401,2020-07-28,145.33999633789062,136.3699951171875,144.75,137.97000122070312,3898700,137.97000122070312,8.774136333300207
1402,2020-07-29,140.80999755859375,136.57000732421878,138.30000305175778,137.74000549316406,1436500,137.74000549316406,0.1666998082946675
1403,2020-07-30,137.14999389648438,134.64999389648438,136.52000427246094,135.0,830300,135.0,1.989259027073327
1404,2020-07-31,136.35000610351562,133.53999328613278,136.19000244140622,135.89999389648438,1263500,135.89999389648438,-0.6666621455439814
1405,2020-08-03,139.41999816894528,135.30000305175778,135.30000305175778,139.05000305175778,993100,139.05000305175778,-2.317887635574719
